,CIK,Company Name,Form Type,Date Filed,Filename,Is Loan Agreement
143,1006281,"Protalix BioTherapeutics, Inc.",8-K,2021-07-07,https://www.sec.gov/Archives/edgar/data/1006281/0001558370-21-008801.txt,False
144,1006281,"Protalix BioTherapeutics, Inc.",8-K,2021-08-13,https://www.sec.gov/Archives/edgar/data/1006281/0001558370-21-011566.txt,False
145,1006281,"Protalix BioTherapeutics, Inc.",8-K,2021-08-16,https://www.sec.gov/Archives/edgar/data/1006281/0001558370-21-011750.txt,False
146,1006281,"Protalix BioTherapeutics, Inc.",8-K,2021-08-26,https://www.sec.gov/Archives/edgar/data/1006281/0001558370-21-012078.txt,False
147,1006655,EVOLUTION PETROLEUM CORP,8-K,2021-08-16,https://www.sec.gov/Archives/edgar/data/1006655/0001006655-21-000030.txt,False
148,1006655,EVOLUTION PETROLEUM CORP,8-K,2021-09-13,https://www.sec.gov/Archives/edgar/data/1006655/0001006655-21-000035.txt,False
149,1006830,CONSUMERS BANCORP INC /OH/,8-K,2021-07-22,https://www.sec.gov/Archives/edgar/data/1006830/0001437749-21-017377.txt,False
150,1006830,CONSUMERS BANCORP INC /OH/,8-K,2021-08-03,https://www.sec.gov/Archives/edgar/data/1006830/0001437749-21-018374.txt,False
151,1006837,"HC2 HOLDINGS, INC.",8-K,2021-07-01,https://www.sec.gov/Archives/edgar/data/1006837/0001006837-21-000095.txt,False
152,1006837,"HC2 HOLDINGS, INC.",8-K,2021-07-07,https://www.sec.gov/Archives/edgar/data/1006837/0001140361-21-023606.txt,False
153,1006837,"HC2 HOLDINGS, INC.",8-K,2021-07-09,https://www.sec.gov/Archives/edgar/data/1006837/0001006837-21-000106.txt,False
154,1006837,"HC2 HOLDINGS, INC.",8-K,2021-08-06,https://www.sec.gov/Archives/edgar/data/1006837/0001006837-21-000111.txt,False
155,1006837,"HC2 HOLDINGS, INC.",8-K,2021-08-09,https://www.sec.gov/Archives/edgar/data/1006837/0001006837-21-000116.txt,False
156,1006837,"HC2 HOLDINGS, INC.",8-K,2021-08-19,https://www.sec.gov/Archives/edgar/data/1006837/0001006837-21-000123.txt,False
157,1006837,"HC2 HOLDINGS, INC.",8-K,2021-08-30,https://www.sec.gov/Archives/edgar/data/1006837/0001140361-21-029773.txt,False
158,1006837,INNOVATE Corp.,8-K,2021-09-20,https://www.sec.gov/Archives/edgar/data/1006837/0001140361-21-031765.txt,False
159,1006837,INNOVATE Corp.,8-K,2021-09-24,https://www.sec.gov/Archives/edgar/data/1006837/0001006837-21-000132.txt,False
160,1007019,COFFEE HOLDING CO INC,8-K,2021-09-13,https://www.sec.gov/Archives/edgar/data/1007019/0001493152-21-022540.txt,False
161,1007019,COFFEE HOLDING CO INC,8-K,2021-09-30,https://www.sec.gov/Archives/edgar/data/1007019/0001493152-21-024213.txt,False
162,100716,UNICO AMERICAN CORP,8-K,2021-07-13,https://www.sec.gov/Archives/edgar/data/100716/0001654954-21-007858.txt,False
163,100716,UNICO AMERICAN CORP,8-K,2021-08-17,https://www.sec.gov/Archives/edgar/data/100716/0001654954-21-009166.txt,False
164,100716,UNICO AMERICAN CORP,8-K,2021-08-25,https://www.sec.gov/Archives/edgar/data/100716/0001654954-21-009423.txt,False
